match_id,competition_id,season_id,stage,matchday,date,kickoff,venue_id,home_team_id,away_team_id,home_goals,away_goals,status,awarded_note,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at,extra_time,home_pens,away_pens,referee,assistant_referee_1,assistant_referee_2,fourth_official,home_coach,away_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,home_coach_id,away_coach_id
MW_CRFA_2627_001,MW_CRFA,MW_2026_27,md_1,1,2026-06-07,,MW_MCJ_003,MW_MV_M1,MW_MCHS_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_002,MW_CRFA,MW_2026_27,md_1,1,2026-06-28,,MW_KAS_001,MW_TNS_M1,MW_MC_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_003,MW_CRFA,MW_2026_27,md_1,1,2026-06-28,,MW_MCJ_003,MW_MCHS_M1,MW_MPFC_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_004,MW_CRFA,MW_2026_27,md_1,1,2026-06-28,,MW_DOW_001,MW_KFC_M1,MW_NAA_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_005,MW_CRFA,MW_2026_27,md_1,1,2026-06-28,,MW_MP_002,MW_SA_M1,MW_LFC_M1,3,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_006,MW_CRFA,MW_2026_27,md_1,1,2026-06-28,,MW_ADL_G,MW_SS_M2,MW_MV_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_007,MW_CRFA,MW_2026_27,md_1,1,2026-07-01,,MW_BLUE_G,MW_MU_M1,MW_BLUE_M2,2,4,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_CRFA_2627_008,MW_CRFA,MW_2026_27,md_1,1,2026-07-02,,MW_UPPER_B,MW_PFC_M1,MW_AB_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_001,MW_KU19,MW_2026_27,md_1,1,2026-07-04,,,MW_YY_MU19,MW_BULL_U19,0,3,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_002,MW_KU19,MW_2026_27,md_1,1,2026-07-04,,,MW_MM_MU19,MW_CCS_MU19,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_003,MW_KU19,MW_2026_27,md_1,1,2026-07-05,,,MW_A_MU19,MW_MW_U19,0,5,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_004,MW_KU19,MW_2026_27,md_1,1,2026-07-05,,,MW_GS_MU19,MW_NU_MU19,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_005,MW_KU19,MW_2026_27,md_1,1,2026-07-04,,,MW_BIA_MU19,MW_EFC_U19,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_006,MW_KU19,MW_2026_27,md_1,1,2026-07-04,,,MW_AS_MU19,MW_RU_MU19,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_007,MW_KU19,MW_2026_27,md_1,1,2026-07-04,,,MW_ND_MU19,MW_SM_MU19,1,3,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_008,MW_KU19,MW_2026_27,md_2,2,2026-07-11,,,MW_AS_MU19,MW_BIA_MU19,0,2,played,,reporter,https://www.facebook.com/share/p/1H3P6wnNh8/,MW_REP_001,2026-08-16T00:37:58.988999+00:00,confirmed,MW_REP_001,2026-08-16T00:37:58.988999+00:00,,,,,,,,,,,,,,,
MW_KU19_2627_009,MW_KU19,MW_2026_27,md_2,2,2026-07-11,,,MW_RU_MU19,MW_NU_MU19,0,3,played,,facebook,https://www.facebook.com/share/p/18zw1NJLEU/,,2026-07-16T00:00:00+00:00,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_010,MW_KU19,MW_2026_27,md_2,2,2026-07-11,,,MW_EFC_U19,MW_MM_MU19,1,0,played,,facebook,https://www.facebook.com/share/p/18zw1NJLEU/,,2026-07-16T00:00:00+00:00,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_011,MW_KU19,MW_2026_27,md_2,2,2026-07-11,,,MW_EH_MU19,MW_CCS_MU19,0,1,played,,reporter,https://www.facebook.com/share/p/1H3P6wnNh8/,MW_REP_001,2026-08-16T00:38:47.228179+00:00,confirmed,MW_REP_001,2026-08-16T00:38:47.228179+00:00,,,,,,,,,,,,,,,
MW_KU19_2627_012,MW_KU19,MW_2026_27,md_2,2,2026-07-11,,,MW_A_MU19,MW_SM_MU19,0,2,played,,facebook,https://www.facebook.com/share/p/18zw1NJLEU/,,2026-07-16T00:00:00+00:00,confirmed,,,,,,,,,,,,,,,,,
