match_id,team_id,player_name,player_id,shirt_number,position,role,captain,minute_on,minute_off,replaced_player,yellow_card,yellow_red_card,red_card
MW_SL_2627_082,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_SL_2627_101,MW_KU_M1,Eddie Jamu,CAF_MW_000593,50,GK,starting,,,,,,,
MW_SL_2627_098,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Arron Chapola,CAF_MW_000560,,GK,starting,,,,,,,
MW_SL_2627_092,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_SL_2627_080,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_KU19_2627_030,MW_BULL_U19,Hassan Assima,CAF_MW_000642,,,starting,,,,,,,
MW_TOP8_2627_008,MW_SS_M1,Charles Thom,CAF_MW_000549,,GK,starting,,,,,,,
MW_TOP8_2627_004,MW_SS_M1,Charles Thom,CAF_MW_000549,,GK,starting,,,,,,,
MW_SL_2627_060,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_KU19_2627_030,MW_CCS_MU19,Yamikani Farakeza,CAF_MW_000660,,,starting,,,,,,,
MW_SL_2627_050,MW_SS_M1,George Chikooka,CAF_MW_000459,,GK,starting,,,,,,,
MW_SRFA_2627_090,MW_EFC_M2,Ninu Khosomola,CAF_MW_000623,,,starting,,,,,,,
MW_SL_2627_101,MW_BULL_M1,Innocent Nyasulu,CAF_MW_000578,24,GK,starting,,,,,,,
MW_SRFA_2627_090,MW_BULL_M2,Ganizani Banda,CAF_MW_000610,,,starting,,,,,,,
MW_SL_2627_082,MW_SS_M1,Dan Sandukira,CAF_MW_000553,,,starting,,,,,,,
MW_SL_2627_101,MW_KU_M1,Pilirani Thulu,CAF_MW_000594,22,,starting,1,,,,,,
MW_SL_2627_098,MW_SS_M1,Eric Astigah,CAF_MW_000541,,,starting,,,,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Conex Itimu,CAF_MW_000561,4,,starting,,,,,,,
